iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
SGP,Asia,Singapore,2021-11-02,204340.0,3496.0,3606.429,430.0,9.0,13.0,34653.375,592.876,611.603,72.922,1.526,2.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5896684.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,,,,
SVK,Europe,Slovakia,2021-11-02,487916.0,2287.0,3947.857,13076.0,31.0,20.143,89350.024,418.809,722.955,2394.553,5.677,3.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5460726.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,
SVN,Europe,Slovenia,2021-11-02,338246.0,1138.0,2190.286,4766.0,10.0,8.857,162718.169,547.451,1053.669,2292.754,4.811,4.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2078723.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,,,,
SLB,Oceania,Solomon Islands,2021-11-02,20.0,0.0,0.0,,,0.0,28.409,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SOM,Africa,Somalia,2021-11-02,21998.0,0.0,0.0,1208.0,0.0,0.0,1344.662,0.0,0.0,73.841,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,,,
ZAF,Africa,South Africa,2021-11-02,2922391.0,169.0,326.0,89197.0,18.0,30.0,48672.449,2.815,5.43,1485.577,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,,,,
OWID_SAM,,South America,2021-11-02,38396741.0,11801.0,17796.714,1170638.0,229.0,375.857,88418.756,27.175,40.982,2695.707,0.527,0.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260137.0,,,,,,,,,,,,,,,,,,
KOR,Asia,South Korea,2021-11-02,370640.0,2666.0,2047.857,2892.0,18.0,13.571,7224.221,51.964,39.915,56.369,0.351,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
SSD,Africa,South Sudan,2021-11-02,12421.0,11.0,17.429,133.0,0.0,0.0,1091.344,0.966,1.531,11.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11381377.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,,,,
ESP,Europe,Spain,2021-11-02,5016968.0,5820.0,1832.143,87423.0,55.0,26.429,107325.818,124.505,39.194,1870.202,1.177,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,,,
LKA,Asia,Sri Lanka,2021-11-02,542212.0,573.0,715.857,13770.0,10.0,16.571,25222.323,26.655,33.3,640.545,0.465,0.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,,,,
SDN,Africa,Sudan,2021-11-02,40433.0,0.0,0.0,3099.0,0.0,0.0,900.325,0.0,0.0,69.006,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,,
SUR,South America,Suriname,2021-11-02,49119.0,100.0,81.571,1094.0,2.0,3.571,82999.605,168.977,137.837,1848.604,3.38,6.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,,,,
SWE,Europe,Sweden,2021-11-02,1174273.0,2761.0,857.429,15040.0,15.0,5.429,115576.242,271.748,84.391,1480.292,1.476,0.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,10160159.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,,,,
CHE,Europe,Switzerland,2021-11-02,879051.0,1953.0,1906.143,11259.0,17.0,7.857,100860.72,224.084,218.707,1291.837,1.951,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,
SYR,Asia,Syria,2021-11-02,43666.0,0.0,227.143,2576.0,2.0,7.143,2389.292,0.0,12.429,140.952,0.109,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18275704.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,,,,
TWN,Asia,Taiwan,2021-11-02,16421.0,4.0,5.857,847.0,0.0,0.0,688.367,0.168,0.246,35.506,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23855008.0,,42.2,,8.353,,,103.957,,,,,,80.46,,,,,
TJK,Asia,Tajikistan,2021-11-02,17486.0,0.0,0.0,125.0,0.0,0.0,1793.505,0.0,0.0,12.821,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9749625.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TZA,Africa,Tanzania,2021-11-02,26154.0,0.0,5.571,725.0,0.0,0.0,425.279,0.0,0.091,11.789,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61498438.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,,,,
THA,Asia,Thailand,2021-11-02,1935442.0,15253.0,9797.0,19394.0,134.0,75.571,27668.601,218.053,140.055,277.252,1.916,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69950844.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
TLS,Asia,Timor,2021-11-02,19790.0,0.0,1.714,122.0,0.0,0.143,14726.072,0.0,1.276,90.782,0.0,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343875.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,,,,
TGO,Africa,Togo,2021-11-02,26086.0,7.0,10.714,242.0,0.0,0.0,3076.817,0.826,1.264,28.544,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8478242.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,,,,
TON,Oceania,Tonga,2021-11-02,1.0,0.0,,,,,9.367,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106759.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,,,,
TTO,North America,Trinidad and Tobago,2021-11-02,57713.0,294.0,242.857,1720.0,11.0,9.286,41124.461,209.495,173.052,1225.618,7.838,6.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TUN,Africa,Tunisia,2021-11-02,712880.0,104.0,123.857,25250.0,6.0,5.286,59726.382,8.713,10.377,2115.491,0.503,0.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11935764.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,
TUR,Asia,Turkey,2021-11-02,8091432.0,29796.0,26050.143,71052.0,224.0,213.286,95145.481,350.365,306.318,835.486,2.634,2.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,
UGA,Africa,Uganda,2021-11-02,126272.0,36.0,69.143,3217.0,2.0,2.429,2679.595,0.764,1.467,68.267,0.042,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47123533.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,
UKR,Europe,Ukraine,2021-11-02,3093661.0,20536.0,22840.429,73136.0,734.0,572.286,71172.928,472.452,525.468,1682.571,16.886,13.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,,,,
ARE,Asia,United Arab Emirates,2021-11-02,740057.0,74.0,83.714,2137.0,1.0,0.429,74071.75,7.407,8.379,213.891,0.1,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,
GBR,Europe,United Kingdom,2021-11-02,9174153.0,33712.0,39901.429,141390.0,292.0,162.429,134504.342,494.259,585.004,2072.951,4.281,2.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,,
USA,North America,United States,2021-11-02,46169012.0,72754.0,74330.143,748518.0,1461.0,1295.0,138681.05,218.536,223.271,2248.375,4.389,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332915074.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,
URY,South America,Uruguay,2021-11-02,394248.0,195.0,237.571,6080.0,0.0,0.857,113122.182,55.952,68.167,1744.544,0.0,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3485152.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,,,,
UZB,Asia,Uzbekistan,2021-11-02,186793.0,549.0,365.714,1329.0,4.0,2.857,5504.311,16.178,10.777,39.162,0.118,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,,
VUT,Oceania,Vanuatu,2021-11-02,6.0,0.0,0.286,1.0,0.0,0.0,19.08,0.0,0.909,3.18,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314464.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,,,,
VAT,Europe,Vatican,2021-11-02,27.0,0.0,0.0,,,0.0,33251.232,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0,,,,,,,,,,,,,75.12,,,,,
VEN,South America,Venezuela,2021-11-02,408727.0,861.0,1066.857,4915.0,13.0,13.286,14238.905,29.995,37.166,171.225,0.453,0.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28704947.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,,,,
VNM,Asia,Vietnam,2021-11-02,932357.0,5637.0,5169.0,22205.0,74.0,57.571,9497.485,57.421,52.654,226.192,0.754,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,,,,
OWID_WRL,,World,2021-11-02,247574342.0,429800.0,432002.857,5013591.0,7486.0,7163.714,31438.148,54.578,54.858,636.649,0.951,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,,,,
YEM,Asia,Yemen,2021-11-02,9806.0,7.0,13.571,1894.0,4.0,5.143,321.607,0.23,0.445,62.117,0.131,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30490639.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,,,,
ZMB,Africa,Zambia,2021-11-02,209760.0,21.0,16.0,3661.0,0.0,0.143,11086.296,1.11,0.846,193.492,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18920657.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,,,,
ZWE,Africa,Zimbabwe,2021-11-02,133047.0,40.0,46.143,4683.0,4.0,1.286,8815.63,2.65,3.057,310.293,0.265,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,
